Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0,0,180,162,0,0,0,180,162,0,0,3,0
1,0.166666667,180.9999174,162.0128508,12,0,0,257.81,163,96,0,10,0
2,0.25,181.9998349,162.0257015,12,0,0,330,156.05,96,0,30,0
3,0.333333333,182.9997523,162.0385523,12,0,0,314.45,104.23,96,0,30,0
4,0.416666667,183.9996697,162.051403,12,0,0,246.97,105.44,96,0,30,0
5,0.5,184.9995871,162.0642538,12,0,0,258.42,145.81,96,0,15,0
6,0.583333333,185.9995046,162.0771045,12,0,0,285,165,96,0,30,0
7,0.666666667,186.999422,162.0899553,12,0,0,384.35,156.65,96,0,30,0
8,0.75,187.9993394,162.1028061,12,0,0,410,191,96,0,30,0
9,0.833333333,188.9992568,162.1156568,12,0,0,385.23,223,96,0,16,0
10,0.915513653,189.9991743,162.1285076,12.33672701,0,0,330.22,214.77,96,0,30,0
11,0.992712488,190.9990917,162.1413583,13.57039971,0,0,390,132,96,0,10,0
12,1.063198381,191.9990091,162.1542091,14.80407241,0,0,430.98,103.51,96,0,30,0
13,1.128045402,192.9989265,162.1670598,16.03774511,0,0,475.49,123.93,96,0,25,0
14,1.18808894,193.998844,162.1799106,17.27141781,0,0,460.54,154.59,96,0,30,0
15,1.243991545,194.9987614,162.1927614,18.50509051,0,0,432.65,167.69,96,0,30,0
16,1.29628753,195.9986788,162.2056121,19.73876321,0,0,367.64,157.68,96,0,30,0
17,1.345414061,196.9985962,162.2184629,20.97243592,0,0,270,167,96,0,50,0
18,1.391733362,197.9985137,162.2313136,22.20610862,0,0,157.2,162,144,0,3,0
19,1.435548917,198.9984311,162.2441644,23.43978132,0,0,120,162,0,0,3,0
20,1.477117521,199.9983485,162.2570151,24.67345402,0,0,,,,,,
21,1.516658387,200.9982659,162.2698659,25.90712672,0,0,,,,,,
22,1.554360144,201.9981834,162.2827167,27.14079942,0,0,,,,,,
23,1.590386267,202.9981008,162.2955674,28.37447212,0,0,,,,,,
24,1.624879363,203.9980182,162.3084182,29.60814482,0,0,,,,,,
25,1.657964578,204.9979356,162.3212689,30.84181752,0,0,,,,,,
26,1.689752334,205.9978531,162.3341197,32.07549022,0,0,,,,,,
27,1.720340552,206.9977705,162.3469704,33.30916292,0,0,,,,,,
28,1.74981647,207.9976879,162.3598212,34.54283563,0,0,,,,,,
29,1.778258146,208.9976053,162.372672,35.77650833,0,0,,,,,,
30,1.805735698,209.9975228,162.3855227,37.01018103,0,0,,,,,,
31,1.832312346,210.9974402,162.3983735,38.24385373,0,0,,,,,,
32,1.858045291,211.9973576,162.4112242,39.47752643,0,0,,,,,,
33,1.882986453,212.997275,162.424075,40.71119913,0,0,,,,,,
34,1.907183103,213.9971925,162.4369257,41.94487183,0,0,,,,,,
35,1.9306784,214.9971099,162.4497765,43.17854453,0,0,,,,,,
36,1.953511859,215.9970273,162.4626273,44.41221723,0,0,,,,,,
37,1.975719743,216.9969447,162.475478,45.64588993,0,0,,,,,,
38,1.997335416,217.9968622,162.4883288,46.87956263,0,0,,,,,,
39,2.018389644,218.9967796,162.5011795,48.11323534,0,0,,,,,,
40,2.038910853,219.996697,162.5140303,49.34690804,0,0,,,,,,
41,2.058925366,220.9966144,162.526881,50.58058074,0,0,,,,,,
42,2.078457601,221.9965319,162.5397318,51.81425344,0,0,,,,,,
43,2.097530255,222.9964493,162.5525826,53.04792614,0,0,,,,,,
44,2.116164456,223.9963667,162.5654333,54.28159884,0,0,,,,,,
45,2.134379912,224.9962842,162.5782841,55.51527154,0,0,,,,,,
46,2.152195028,225.9962016,162.5911348,56.74894424,0,0,,,,,,
47,2.169627023,226.996119,162.6039856,57.98261694,0,0,,,,,,
48,2.186692028,227.9960364,162.6168364,59.21628964,0,0,,,,,,
49,2.203405178,228.9959539,162.6296871,60.44996235,0,0,,,,,,
50,2.219780688,229.9958713,162.6425379,61.68363505,0,0,,,,,,
51,2.235831931,230.9957887,162.6553886,62.91730775,0,0,,,,,,
52,2.2515715,231.9957061,162.6682394,64.15098045,0,0,,,,,,
53,2.267011267,232.9956236,162.6810901,65.38465315,0,0,,,,,,
54,2.28216244,233.995541,162.6939409,66.61832585,0,0,,,,,,
55,2.29703561,234.9954584,162.7067917,67.85199855,0,0,,,,,,
56,2.311640795,235.9953758,162.7196424,69.08567125,0,0,,,,,,
57,2.325987481,236.9952933,162.7324932,70.31934395,0,0,,,,,,
58,2.34008466,237.9952107,162.7453439,71.55301665,0,0,,,,,,
59,2.353940861,238.9951281,162.7581947,72.78668935,0,0,,,,,,
60,2.367564185,239.9950455,162.7710454,74.02036206,0,0,,,,,,
61,2.380962329,240.994963,162.7838962,75.25403476,0,0,,,,,,
62,2.394142618,241.9948804,162.796747,76.48770746,0,0,,,,,,
63,2.407112023,242.9947978,162.8095977,77.72138016,0,0,,,,,,
64,2.419877184,243.9947152,162.8224485,78.95505286,0,0,,,,,,
65,2.432444437,244.9946327,162.8352992,80.18872556,0,0,,,,,,
66,2.444819822,245.9945501,162.84815,81.42239826,0,0,,,,,,
67,2.457009112,246.9944675,162.8610007,82.65607096,0,0,,,,,,
68,2.46901782,247.9943849,162.8738515,83.88974366,0,0,,,,,,
69,2.480851218,248.9943024,162.8867023,85.12341636,0,0,,,,,,
70,2.492514351,249.9942198,162.899553,86.35708906,0,0,,,,,,
71,2.50401205,250.9941372,162.9124038,87.59076177,0,0,,,,,,
72,2.515348942,251.9940546,162.9252545,88.82443447,0,0,,,,,,
73,2.526529463,252.9939721,162.9381053,90.05810717,0,0,,,,,,
74,2.537557868,253.9938895,162.950956,91.29177987,0,0,,,,,,
75,2.54843824,254.9938069,162.9638068,92.52545257,0,0,,,,,,
76,2.559174502,255.9937243,162.9766576,93.75912527,0,0,,,,,,
77,2.569770421,256.9936418,162.9895083,94.99279797,0,0,,,,,,
77.81642564,2.57833562,257.81,163,95.64507443,0,0,,,,,,
78.81642564,2.588771578,258.8053977,162.9041694,96,0,0,,,,,,
79.81642564,2.599188245,259.8007953,162.8083387,96,0,0,,,,,,
80.81642564,2.609604911,260.796193,162.7125081,96,0,0,,,,,,
81.81642564,2.620021578,261.7915906,162.6166775,96,0,0,,,,,,
82.81642564,2.630438245,262.7869883,162.5208468,96,0,0,,,,,,
