Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,180.0,168.0,0.0,0.0,0,180.0,168.0,0.0,0.0,3.0,0.0
1.0,0.16666666666666666,181.0,168.0,12.0,0.0,0,207.2,168.0,84.0,0.0,3.0,0
2.0,0.25,182.0,168.0,12.0,0.0,0,257.81,168.0,84.0,0.0,10.0,0.0
3.0,0.3333333333333333,183.0,168.0,12.0,0.0,0,330.0,165.0,84.0,0.0,30.0,0
4.0,0.41666666666666663,184.0,168.0,12.0,0.0,0,311.45,104.23,84.0,0.0,30.0,0
5.0,0.495767376133059,185.0,168.0,13.284223283101431,0.0,0,243.97,105.44,84.0,0.0,30.0,0
6.0,0.5642012536520663,186.0,168.0,15.941067939721718,0.0,0,250.0,146.81,84.0,0.0,20.0,0
7.0,0.6221068423219956,187.0,168.0,18.597912596342002,0.0,0,287.0,163.0,84.0,0.0,30.0,0.0
8.0,0.6722916858359343,188.0,168.0,21.25475725296229,0.0,0,338.85,170.8,108.0,0.0,30.0,0
9.0,0.7165724301129391,189.0,168.0,23.911601909582576,0.0,0,385.35,175.0,96.0,0.0,10.0,0
10.0,0.7561920434134171,190.0,168.0,26.568446566202862,0.0,0,440.0,192.0,84.0,0.0,35.0,0.0
11.0,0.7920383602090876,191.0,168.0,29.22529122282315,0.0,0,378.0,242.0,84.0,0.0,35.0,0
12.0,0.8247676059790476,192.0,168.0,31.882135879443435,0.0,0,315.0,215.0,84.0,0.0,35.0,0
13.0,0.8548785120874108,193.0,168.0,34.53898053606372,0.0,0,346.0,164.0,84.0,0.0,35.0,0
14.0,0.8827589807062657,194.0,168.0,37.195825192684005,0.0,0,395.0,125.0,108.0,0.0,45.0,0
15.0,0.9087166583858891,195.0,168.0,39.85266984930429,0.0,0,435.98,108.0,84.0,0.0,35.0,0.0
16.0,0.9329996471829562,196.0,168.0,42.50951450592458,0.0,0,470.49,121.93,84.0,0.0,25.0,0
17.0,0.955810939689292,197.0,168.0,45.166359162544865,0.0,0,460.0,165.0,84.0,0.0,30.0,0
18.0,0.9773187297666943,198.0,168.0,47.82320381916515,0.0,0,432.65,168.69,250.79999999999998,0.0,40.0,0
19.0,0.9976639365966695,199.0,168.0,50.48004847578544,0.0,0,385.64,170.69,250.79999999999998,0.0,30.0,0
20.0,1.016965799486646,200.0,168.0,53.136893132405724,0.0,0,270.0,185.0,250.79999999999998,0.0,60.0,0
21.0,1.0353261080893064,201.0,168.0,55.79373778902601,0.0,0,190.0,185.0,250.79999999999998,0.0,3.0,0
22.0,1.0528324488499827,202.0,168.0,58.4505824456463,0.0,0,80.0,185.0,0.0,0.0,3.0,0.0
23.0,1.0695607300212957,203.0,168.0,61.107427102266584,0.0,0,,,,,,
24.0,1.0855771694406378,204.0,168.0,63.76427175888687,0.0,0,,,,,,
25.0,1.1009398766387823,205.0,168.0,66.42111641550716,0.0,0,,,,,,
26.0,1.1157001247311173,206.0,168.0,69.07796107212744,0.0,0,,,,,,
27.0,1.1299033823294018,207.0,168.0,71.73480572874772,0.0,0,,,,,,
27.19999999999999,1.1326875809978532,207.2,168.0,71.93310293470834,0.0,0,,,,,,
28.19999999999999,1.1464942347818403,208.2,168.0,72.92458896451156,0.0,0,,,,,,
29.19999999999999,1.1601144401532952,209.2,168.0,73.91607499431477,0.0,0,,,,,,
30.19999999999999,1.1735531657046068,210.2,168.0,74.90756102411798,0.0,0,,,,,,
31.19999999999999,1.1868151840305214,211.2,168.0,75.8990470539212,0.0,0,,,,,,
