Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,180.0,168.0,0.0,0.0,0,180.0,168.0,0.0,0.0,3.0,0
1.0,0.16666666666666666,181.0,168.0,12.0,0.0,0,210.2,168.0,84.0,0.0,3.0,0
2.0,0.25,182.0,168.0,12.0,0.0,0,257.81,168.0,84.0,0.0,10.0,0
3.0,0.3333333333333333,183.0,168.0,12.0,0.0,0,330.0,164.0,84.0,0.0,30.0,0.0
4.0,0.41666666666666663,184.0,168.0,12.0,0.0,0,314.45,104.23,84.0,0.0,30.0,0
5.0,0.4979438346511763,185.0,168.0,12.60715659262601,0.0,0,246.97,105.44,84.0,0.0,30.0,0
6.0,0.5700529500105145,186.0,168.0,15.128587911151213,0.0,0,253.0,146.81,84.0,0.0,20.0,0
7.0,0.6310683553145698,187.0,168.0,17.650019229676413,0.0,0,287.0,163.0,84.0,0.0,30.0,0
8.0,0.6839483732447511,188.0,168.0,20.171450548201616,0.0,0,338.85,165.8,84.0,0.0,30.0,0
9.0,0.730607212594911,189.0,168.0,22.692881866726818,0.0,0,385.35,165.0,84.0,0.0,30.0,0
10.0,0.77235459517137,190.0,168.0,25.21431318525202,0.0,0,440.0,192.0,84.0,0.0,35.0,0
11.0,0.8101260365500709,191.0,168.0,27.735744503777223,0.0,0,384.0,240.0,84.0,0.0,35.0,0
12.0,0.8446130047654065,192.0,168.0,30.257175822302425,0.0,0,323.0,215.0,84.0,0.0,35.0,0
13.0,0.8763410155235153,193.0,168.0,32.778607140827624,0.0,0,346.0,164.0,84.0,0.0,35.0,0.0
14.0,0.9057188032625049,194.0,168.0,35.30003845935283,0.0,0,395.0,125.0,84.0,0.0,45.0,0
15.0,0.9330705366746677,195.0,168.0,37.82146977787803,0.0,0,435.98,108.0,84.0,0.0,35.0,0
16.0,0.9586576421247553,196.0,168.0,40.34290109640323,0.0,0,475.49,121.93,84.0,0.0,25.0,0
17.0,0.9826940139112014,197.0,168.0,42.864332414928434,0.0,0,465.0,165.0,84.0,0.0,30.0,0
18.0,1.005356878738422,198.0,168.0,45.385763733453636,0.0,0,432.65,168.69,84.0,0.0,40.0,0
19.0,1.0267947238452522,199.0,168.0,47.90719505197884,0.0,0,385.64,170.69,180.0,0.0,30.0,0
20.0,1.0471331922799372,200.0,168.0,50.42862637050404,0.0,0,270.0,185.0,180.0,0.0,60.0,0
21.0,1.0664795403031742,201.0,168.0,52.950057689029244,0.0,0,190.0,185.0,180.0,0.0,3.0,0
22.0,1.0849260581857956,202.0,168.0,55.471489007554446,0.0,0,80.0,185.0,0.0,0.0,3.0,0
23.0,1.1025527308291894,203.0,168.0,57.99292032607965,0.0,0,,,,,,
24.0,1.1194293322962685,204.0,168.0,60.51435164460485,0.0,0,,,,,,
25.0,1.1356170928871403,205.0,168.0,63.03578296313005,0.0,0,,,,,,
26.0,1.1511700393371935,206.0,168.0,65.55721428165525,0.0,0,,,,,,
27.0,1.166136082147622,207.0,168.0,68.07864560018045,0.0,0,,,,,,
28.0,1.1805579052194897,208.0,168.0,70.60007691870565,0.0,0,,,,,,
29.0,1.1944736994116427,209.0,168.0,73.12150823723086,0.0,0,,,,,,
30.0,1.2079177717667735,210.0,168.0,75.64293955575606,0.0,0,,,,,,
30.19999999999999,1.210558379967244,210.2,168.0,75.83731409517229,0.0,0,,,,,,
31.19999999999999,1.2236605473171196,211.2,168.0,76.8091867922535,0.0,0,,,,,,
32.19999999999999,1.2365979741477682,212.2,168.0,77.78105948933471,0.0,0,,,,,,
33.19999999999999,1.24937475175747,213.2,168.0,78.75293218641592,0.0,0,,,,,,
34.19999999999999,1.2619948209039502,214.2,168.0,79.72480488349713,0.0,0,,,,,,
35.19999999999999,1.274461979100471,215.2,168.0,80.69667758057834,0.0,0,,,,,,
