Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,180.0,162.0,0.0,0.0,0,180.0,162.0,0.0,0.0,3.0,0.0
1.0000000000000098,0.1666666666666683,180.99923869930942,162.03901309783197,12.0,0.0,0,195.88,162.62,60.0,0.0,3.0,0.0
2.0000000000000195,0.25000000000000244,181.99847739861883,162.07802619566394,12.0,0.0,0,220.0,167.0,84.0,0.0,12.0,0.0
3.0000000000000293,0.3333333333333366,182.99771609792825,162.1170392934959,12.0,0.0,0,219.74,190.02,78.0,0.0,3.0,0
4.000000000000039,0.41054337395724083,183.99695479723766,162.15605239132788,13.903366762130926,0.0,0,222.0,238.0,84.0,0.0,3.0,1
5.000000000000049,0.4744767293880991,184.99619349654708,162.19506548915984,17.379208452663658,0.0,0,226.84,210.47,78.0,0.0,5.0,0
6.000000000000059,0.5267858383769831,185.9954321958565,162.2340785869918,20.85505014319639,0.0,0,223.84,167.0,84.0,0.0,15.0,0
7.000000000000068,0.5710473921368081,186.9946708951659,162.27309168482378,24.330891833729122,0.0,0,249.88,147.27,84.0,0.0,15.0,0.0
8.000000000000078,0.6094074053953231,187.99390959447533,162.31210478265575,27.806733524261855,0.0,0,259.0,105.0,72.0,0.0,30.0,0.0
9.000000000000089,0.6432544759175423,188.99314829378474,162.35111788048772,31.28257521479459,0.0,0,282.0,95.0,84.0,0.0,20.0,0.0
10.0000000000001,0.6735386969111067,189.99238699309416,162.3901309783197,34.75841690532732,0.0,0,305.0,107.26,72.0,0.0,15.0,0.0
11.00000000000011,0.7009387063814745,190.99162569240357,162.42914407615166,38.234258595860055,0.0,0,312.0,124.0,84.0,0.0,60.0,0.0
12.00000000000012,0.7259561063326799,191.990864391713,162.46815717398363,41.71010028639279,0.0,0,313.0,145.0,84.0,0.0,3.0,0.0
13.000000000000131,0.7489721142877889,192.9901030910224,162.5071702718156,45.18594197692552,0.0,0,314.0,165.0,84.0,0.0,3.0,0.0
14.000000000000142,0.7702832327647416,193.98934179033182,162.54618336964757,48.66178366745825,0.0,0,314.0,182.0,84.0,0.0,3.0,0.0
15.000000000000153,0.7901246189329391,194.98858048964124,162.58519646747953,52.137625357990984,0.0,0,314.0,199.0,78.0,0.0,3.0,0.0
15.892098665689186,0.8070317689210973,195.88,162.62,53.39153435418525,0.0,0,314.0,315.0,84.0,0.0,3.0,1.0
16.892098665689183,0.8255179980208464,196.86390904708378,162.7986700508386,54.79710645559151,0.0,0,321.0,200.0,78.0,0.0,5.0,0.0
17.89209866568918,0.843536050936653,197.84781809416756,162.9773401016772,56.202678556997775,0.0,0,321.0,182.0,84.0,0.0,3.0,0.0
18.892098665689176,0.8611090556892522,198.83172714125135,163.15601015251582,57.60825065840404,0.0,0,321.0,165.0,84.0,0.0,3.0,0.0
19.892098665689172,0.8782584678149299,199.81563618833513,163.33468020335442,59.0138227598103,0.0,0,320.0,145.0,84.0,0.0,10.0,0.0
20.89209866568917,0.8950042278290843,200.79954523541892,163.51335025419303,60.41939486121657,0.0,0,320.0,124.0,72.0,0.0,20.0,0.0
21.892098665689165,0.9113649005845452,201.7834542825027,163.69202030503163,61.82496696262283,0.0,0,331.0,101.64,84.0,0.0,30.0,1.0
22.89209866568916,0.9273577989665944,202.7673633295865,163.87069035587024,63.230539064029095,0.0,0,360.14,100.0,108.0,0.0,20.0,0.0
23.892098665689158,0.9429990939908316,203.75127237667027,164.04936040670884,64.63611116543535,0.0,0,395.17,100.0,108.0,0.0,30.0,1.0
24.892098665689154,0.9583039130588982,204.73518142375406,164.22803045754745,66.04168326684162,0.0,0,408.0,133.0,84.0,0.0,30.0,0
25.89209866568915,0.9732864278683632,205.71909047083784,164.40670050838605,67.44725536824788,0.0,0,410.0,147.0,84.0,0.0,3.0,0
26.892098665689147,0.9879599332570469,206.70299951792163,164.58537055922466,68.85282746965414,0.0,0,412.0,165.6,84.0,0.0,3.0,0.0
27.892098665689144,1.0023369180809578,207.6869085650054,164.76404061006326,70.25839957106041,0.0,0,412.0,195.0,78.0,0.0,3.0,0.0
28.89209866568914,1.0164291290726144,208.6708176120892,164.94271066090187,71.66397167246667,0.0,0,412.75,270.0,84.0,0.0,3.0,1.0
29.892098665689137,1.0302476284977977,209.65472665917298,165.12138071174047,73.06954377387294,0.0,0,419.0,245.0,84.0,0.0,15.0,0
30.891406286109067,1.0437935503111675,210.63499053080682,165.31554163004995,74.47414268585787,0.0,0,430.5,208.45,108.0,0.0,10.0,0
31.8911169593735,1.0570916910312065,211.59773929292572,165.58486717892592,75.87930811767643,0.0,0,479.76,208.0,108.0,0.0,3.0,0
32.890827632637965,1.0701458303634,212.53472928334395,165.93339434873474,77.28447354949503,0.0,0,540.0,208.0,0.0,0.0,3.0,0
33.89053830590244,1.0829647611082953,213.43945739180907,166.35870421223666,78.68963898131365,0.0,0,,,,,,
34.890248979166884,1.0955568091942782,214.30564441929232,166.85784493754224,80.09480441313222,0.0,0,,,,,,
35.889959652431344,1.1079298661554868,215.1272786583086,167.42735227508498,81.49996984495083,0.0,0,,,,,,
36.8896703256958,1.1200914188338456,215.89865761673084,168.06327360099118,82.90513527676943,0.0,0,,,,,,
37.88938099896026,1.132070806665223,216.61442759551824,168.76119534997568,84.0,0.0,0,,,,,,
38.889091672224716,1.143992283584478,217.26962084567128,169.5162736473679,83.71590970406746,0.0,0,,,,,,
39.88880234548917,1.1559542848461688,217.85969004652924,170.3232679276684,83.43181940813491,0.0,0,,,,,,
40.888513018753635,1.1679570868965348,218.3805398661153,171.17657730630904,83.14772911220237,0.0,0,,,,,,
41.88822369201809,1.18000096902026,218.82855538448754,172.0702794521812,82.86363881626983,0.0,0,,,,,,
42.88793436528254,1.1920862133794667,219.2006271828256,172.99817169114021,82.57954852033728,0.0,0,,,,,,
43.887645038547,1.2042131050533782,219.49417292412357,173.9538140552099,82.29545822440474,0.0,0,,,,,,
44.88735571181147,1.2163819320786693,219.70715527571056,174.93057397870768,82.0113679284722,0.0,0,,,,,,
45.88706638507592,1.2285929854905155,219.8380960492085,175.92167233107975,81.72727763253965,0.0,0,,,,,,
46.887066385075926,1.240850111853079,219.82680224304153,176.92160855401713,81.44310511790111,0.0,0,,,,,,
47.88706638507593,1.2531500807097404,219.81550843687455,177.9215447769545,81.15893260326257,0.0,0,,,,,,
48.88706638507594,1.2654931926068635,219.80421463070758,178.92148099989188,80.87476008862403,0.0,0,,,,,,
49.88706638507595,1.2778797512645088,219.7929208245406,179.92141722282926,80.59058757398549,0.0,0,,,,,,
50.887066385075954,1.2903100636212765,219.78162701837363,180.92135344576664,80.30641505934695,0.0,0,,,,,,
51.88706638507596,1.3027844398799437,219.77033321220665,181.92128966870402,80.0222425447084,0.0,0,,,,,,
52.88706638507597,1.3153031935539132,219.75903940603968,182.9212258916414,79.73807003006986,0.0,0,,,,,,
53.887066385075975,1.3278666415144917,219.7477455998727,183.92116211457878,79.45389751543132,0.0,0,,,,,,
54.88706638507598,1.3404751040390155,219.73645179370573,184.92109833751616,79.16972500079278,0.0,0,,,,,,
55.88706638507599,1.3531289048598403,219.72515798753875,185.92103456045353,78.88555248615424,0.0,0,,,,,,
56.887066385076,1.3658283712142159,219.71386418137178,186.9209707833909,78.6013799715157,0.0,0,,,,,,
57.887066385076004,1.3785738338950642,219.7025703752048,187.9209070063283,78.31720745687716,0.0,0,,,,,,
58.88706638507601,1.391365627302679,219.69127656903783,188.92084322926567,78.03303494223861,0.0,0,,,,,,
59.88706638507602,1.4041834257947765,219.67998276287085,189.92077945220305,78.0,0.0,0,,,,,,
60.00302666214427,1.4056698404778827,219.74,190.02,78.02681860749107,0.0,0,,,,,,
61.00302666214427,1.4184669811826829,219.78705079295216,191.01889249816114,78.25809269693882,0.0,0,,,,,,
62.00302666214427,1.431226358633472,219.8341015859043,192.01778499632226,78.48936678638657,0.0,0,,,,,,
63.00302666214427,1.443948195046693,219.88115237885646,193.0166774944834,78.72064087583432,0.0,0,,,,,,
64.00302666214428,1.4566327106831072,219.9282031718086,194.01556999264452,78.95191496528207,0.0,0,,,,,,
