Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,180.0,162.0,0.0,0.0,0,180.0,162.0,0.0,0.0,3.0,0.0
1.0000000000000033,0.1666666666666672,180.99227787671367,162.1240347345892,12.0,0.0,0,220.0,167.0,60.0,0.0,12.0,0.0
2.0000000000000067,0.25000000000000083,181.98455575342734,162.2480694691784,12.0,0.0,0,221.74,190.02,78.0,0.0,3.0,0.0
3.0000000000000098,0.3333333333333344,182.97683363014102,162.3721042037676,12.0,0.0,0,224.0,238.0,84.0,0.0,3.0,1
4.000000000000013,0.4166666666666681,183.9691115068547,162.4961389383568,12.0,0.0,0,228.84,210.47,78.0,0.0,5.0,0
5.000000000000017,0.5000000000000017,184.96138938356836,162.620173672946,12.0,0.0,0,232.84,167.91,84.0,0.0,15.0,0
6.00000000000002,0.5833333333333353,185.95366726028203,162.7442084075352,12.0,0.0,0,249.88,147.27,84.0,0.0,15.0,0.0
7.000000000000024,0.6666666666666689,186.9459451369957,162.8682431421244,12.0,0.0,0,259.0,105.0,72.0,0.0,30.0,0.0
8.000000000000027,0.7489422646023156,187.93822301370938,162.99227787671362,12.30854409061042,0.0,0,282.0,95.0,84.0,0.0,20.0,0
9.00000000000003,0.825407560876163,188.93050089042305,163.11631261130282,13.847112101936723,0.0,0,305.0,107.26,72.0,0.0,15.0,0.0
10.000000000000034,0.8938238785948684,189.92277876713672,163.24034734589202,15.385680113263026,0.0,0,312.0,124.0,84.0,0.0,60.0,0
11.000000000000037,0.9557243565308401,190.9150566438504,163.36438208048122,16.92424812458933,0.0,0,313.0,145.0,84.0,0.0,3.0,0.0
12.00000000000004,1.01224218421151,191.90733452056406,163.48841681507042,18.46281613591563,0.0,0,314.0,165.0,84.0,0.0,3.0,0.0
13.000000000000044,1.0642385856777261,192.89961239727774,163.61245154965962,20.001384147241932,0.0,0,314.0,182.0,84.0,0.0,3.0,0.0
14.000000000000048,1.1123834018501486,193.8918902739914,163.73648628424883,21.539952158568234,0.0,0,314.0,199.0,78.0,0.0,3.0,0.0
15.000000000000052,1.1572078858727488,194.88416815070508,163.86052101883803,23.078520169894535,0.0,0,314.0,315.0,84.0,0.0,3.0,1.0
16.000000000000053,1.1991404677003425,195.87644602741875,163.98455575342723,24.617088181220836,0.0,0,321.0,200.0,78.0,0.0,5.0,0.0
17.000000000000057,1.2385316809323246,196.86872390413242,164.10859048801643,26.155656192547138,0.0,0,321.0,182.0,84.0,0.0,3.0,0.0
18.00000000000006,1.2756719676939077,197.8610017808461,164.23262522260563,27.69422420387344,0.0,0,321.0,165.0,84.0,0.0,3.0,0.0
19.000000000000064,1.310804671387297,198.85327965755977,164.35665995719484,29.23279221519974,0.0,0,320.0,145.0,84.0,0.0,10.0,0.0
20.000000000000068,1.3441356979682049,199.84555753427344,164.48069469178404,30.771360226526042,0.0,0,320.0,124.0,72.0,0.0,20.0,0.0
21.00000000000007,1.3758408208134587,200.8378354109871,164.60472942637324,32.30992823785235,0.0,0,331.0,101.64,84.0,0.0,30.0,1.0
22.000000000000075,1.406071286782189,201.83011328770078,164.72876416096244,33.84849624917865,0.0,0,360.14,100.0,84.0,0.0,20.0,0
23.000000000000078,1.4349581764856425,202.82239116441446,164.85279889555164,35.38706426050496,0.0,0,395.17,100.0,84.0,0.0,30.0,1.0
24.00000000000008,1.4626158368400128,203.81466904112813,164.97683363014085,36.92563227183126,0.0,0,412.0,133.0,66.0,0.0,30.0,0.0
25.000000000000085,1.4891446130982864,204.8069469178418,165.10086836473005,38.46420028315757,0.0,0,412.0,147.0,84.0,0.0,3.0,0.0
26.00000000000009,1.5146330451895689,205.79922479455547,165.22490309931925,40.00276829448387,0.0,0,412.0,165.6,84.0,0.0,3.0,0.0
27.000000000000092,1.5391596496547653,206.79150267126914,165.34893783390845,41.54133630581018,0.0,0,412.0,195.0,78.0,0.0,3.0,0.0
28.000000000000096,1.5627943775939543,207.78378054798281,165.47297256849765,43.07990431713648,0.0,0,412.75,270.0,84.0,0.0,3.0,1.0
29.0000000000001,1.5855998168335228,208.7760584246965,165.59700730308685,44.618472328462786,0.0,0,419.0,216.0,84.0,0.0,15.0,0.0
30.000000000000103,1.6076321903361568,209.76833630141016,165.72104203767606,46.15704033978909,0.0,0,444.5,190.45,108.0,0.0,3.0,0.0
30.99961571354646,1.628934135990034,210.75887603181062,165.855439274504,47.69501710027063,0.0,0,479.76,190.0,108.0,0.0,3.0,0.0
31.999326386810935,1.6495620051986608,211.73706897615008,166.06174001101112,49.23313996273683,0.0,0,540.0,190.0,0.0,0.0,3.0,0.0
32.999037060075395,1.6695553383998871,212.69469554520796,166.3487466040945,50.771262825203,0.0,0,,,,,,
33.998747733339854,1.6889520086321204,213.62510940207258,166.71446710556137,52.30938568766918,0.0,0,,,,,,
34.99845840660431,1.7077865964456067,214.5218530776638,167.1563632591156,53.84750855013534,0.0,0,,,,,,
35.99816907986876,1.726090760797295,215.37870278832312,167.6713681169392,55.3856314126015,0.0,0,,,,,,
36.99787975313323,1.7438935591501354,216.18971163152753,168.25590732561827,56.923754275067694,0.0,0,,,,,,
37.99759042639767,1.7612217249022406,216.94925085992963,168.90592393368084,58.46187713753383,0.0,0,,,,,,
38.99730109966214,1.7781305944204937,217.6520489472658,169.61690654857063,59.78501952049224,0.0,0,,,,,,
39.9970117729266,1.7946693381525942,218.29322817499698,170.3839206476359,61.10816190345064,0.0,0,,,,,,
40.99672244619107,1.8108538127030684,218.86833848575645,171.20164282582178,62.431304286409066,0.0,0,,,,,,
41.996433119455524,1.8266988770735268,219.37338836864606,172.06439774237228,63.75444666936746,0.0,0,,,,,,
42.996143792719955,1.8422184746280363,219.80487256202485,172.96619751011625,65.07758905232582,0.0,0,,,,,,
43.99585446598443,1.857425706809842,220.15979638152015,173.90078325395882,66.40073143528424,0.0,0,,,,,,
44.99556513924889,1.8723328995859143,220.4356965044145,174.86166855014446,67.72387381824264,0.0,0,,,,,,
45.99556513924888,1.886955853345516,220.51106794739735,175.85882407742326,69.0473991324596,0.0,0,,,,,,
46.995565139248875,1.9013011700058813,220.5864393903802,176.85597960470207,70.37092444667657,0.0,0,,,,,,
47.99556513924887,1.9153791957820836,220.66181083336306,177.85313513198088,71.69444976089353,0.0,0,,,,,,
48.99556513924886,1.9291997091365278,220.73718227634592,178.85029065925968,73.0179750751105,0.0,0,,,,,,
49.99556513924885,1.942771961573614,220.81255371932878,179.8474461865385,74.34150038932746,0.0,0,,,,,,
50.995565139248846,1.9561047148350406,220.88792516231163,180.8446017138173,75.66502570354443,0.0,0,,,,,,
51.99556513924884,1.9692062748702261,220.9632966052945,181.8417572410961,76.9885510177614,0.0,0,,,,,,
52.99556513924883,1.9821104538361343,221.03866804827734,182.8389127683749,78.0,0.0,0,,,,,,
53.995565139248825,1.994930966656647,221.1140394912602,183.83606829565372,78.0,0.0,0,,,,,,
54.99556513924882,2.0077514794771596,221.18941093424306,184.83322382293252,78.0,0.0,0,,,,,,
55.99556513924881,2.0205719922976724,221.2647823772259,185.83037935021133,78.0,0.0,0,,,,,,
56.995565139248804,2.033392505118185,221.34015382020877,186.82753487749014,78.0,0.0,0,,,,,,
57.9955651392488,2.046213017938698,221.41552526319163,187.82469040476894,78.0,0.0,0,,,,,,
58.99556513924879,2.0590335307592107,221.49089670617448,188.82184593204775,78.0,0.0,0,,,,,,
59.99556513924878,2.0718540435797235,221.56626814915734,189.81900145932656,78.0,0.0,0,,,,,,
60.26124007097942,2.07525879141986,221.74,190.02,78.0614437279251,0.0,0,,,,,,
61.26124007097942,2.0880502641906094,221.78705079295216,191.01889249816114,78.29271781737285,0.0,0,,,,,,
62.26124007097942,2.1008040071017926,221.8341015859043,192.01778499632226,78.5239919068206,0.0,0,,,,,,
63.26124007097942,2.113520242075589,221.88115237885646,193.0166774944834,78.75526599626835,0.0,0,,,,,,
64.26124007097943,2.126199189081943,221.9282031718086,194.01556999264452,78.9865400857161,0.0,0,,,,,,
65.26124007097943,2.1388410661613944,221.97525396476075,195.01446249080564,79.21781417516385,0.0,0,,,,,,
66.26124007097943,2.151446089447578,222.0223047577129,196.01335498896677,79.4490882646116,0.0,0,,,,,,
67.26124007097943,2.1640144731893955,222.06935555066505,197.0122474871279,79.68036235405935,0.0,0,,,,,,
68.26124007097943,2.1765464297728636,222.1164063436172,198.01113998528902,79.9116364435071,0.0,0,,,,,,
69.26124007097943,2.189042169742651,222.16345713656935,199.01003248345015,80.14291053295486,0.0,0,,,,,,
70.26124007097943,2.2015019018233013,222.2105079295215,200.00892498161127,80.37418462240261,0.0,0,,,,,,
71.26124007097943,2.213925832940152,222.25755872247365,201.0078174797724,80.60545871185036,0.0,0,,,,,,
72.26124007097943,2.2263141682399556,222.3046095154258,202.00670997793353,80.83673280129811,0.0,0,,,,,,
73.26124007097943,2.238667111111203,222.35166030837794,203.00560247609465,81.06800689074586,0.0,0,,,,,,
74.26124007097943,2.2509848632041596,222.3987111013301,204.00449497425578,81.29928098019361,0.0,0,,,,,,
75.26124007097943,2.2632676244506174,222.44576189428224,205.0033874724169,81.53055506964137,0.0,0,,,,,,
76.26124007097943,2.2755155930833646,222.4928126872344,206.00227997057803,81.76182915908912,0.0,0,,,,,,
77.26124007097943,2.2877289656553828,222.53986348018654,207.00117246873916,81.99310324853687,0.0,0,,,,,,
78.26124007097943,2.299907937058773,222.5869142731387,208.00006496690028,82.22437733798462,0.0,0,,,,,,
79.26124007097943,2.312052700543415,222.63396506609084,208.9989574650614,82.45565142743237,0.0,0,,,,,,
80.26124007097943,2.3241634477353665,222.681015859043,209.99784996322254,82.68692551688012,0.0,0,,,,,,
81.26124007097943,2.336240368655006,222.72806665199514,210.99674246138366,82.91819960632787,0.0,0,,,,,,
82.22297630944212,2.3478234476623085,222.92467259662064,211.9381683453014,83.14062427916724,0.0,0,,,,,,
83.21835310560263,2.3597791032729374,223.43089075949348,212.79520868152392,83.3708291413567,0.0,0,,,,,,
84.2137299017631,2.3717017922507404,224.1896641818032,213.43944300219542,83.60103400354613,0.0,0,,,,,,
85.20910669792359,2.3835916959007686,225.1174624511116,213.79995005871868,83.83123886573557,0.0,1,,,,,,
86.20448349408409,2.395551455115782,226.11214786752538,213.83704303256147,82.62308153746271,0.0,0,,,,,,
87.19986029024457,2.407687384123573,227.0642193854933,213.54663850262264,81.41492420918986,0.0,0,,,,,,
88.19523708640506,2.420004750554364,227.8688671576639,212.96070597316591,80.20676688091702,0.0,0,,,,,,
89.19523708640504,2.432567583174397,228.0420197844964,211.9758109697158,78.99299805193375,0.0,0,,,,,,
90.19523708640503,2.445307004835345,228.2151724113289,210.9909159662657,78.0,0.0,0,,,,,,
91.00872522981899,2.455728756520726,228.84,210.47,78.11351488158597,0.0,0,,,,,,
92.00872522981899,2.4685192141696914,228.9335725995348,209.47438754094964,78.25305579869091,0.0,0,,,,,,
93.00872522981899,2.4812868841809292,229.02714519906962,208.47877508189927,78.39259671579585,0.0,0,,,,,,
94.00872522981899,2.4940318476075096,229.12071779860443,207.4831626228489,78.53213763290078,0.0,0,,,,,,
95.00872522981899,2.5067541850708253,229.21429039813924,206.48755016379855,78.67167855000572,0.0,0,,,,,,
96.00872522981899,2.5194539767636517,229.30786299767405,205.49193770474818,78.81121946711066,0.0,0,,,,,,
97.00872522981899,2.5321313024531795,229.40143559720886,204.49632524569782,78.9507603842156,0.0,0,,,,,,
98.00872522981899,2.5447862414840214,229.49500819674367,203.50071278664745,79.09030130132054,0.0,0,,,,,,
99.00872522981899,2.5574188727811915,229.58858079627848,202.5051003275971,79.22984221842547,0.0,0,,,,,,
100.00872522981899,2.5700292748530584,229.6821533958133,201.50948786854673,79.36938313553041,0.0,0,,,,,,
101.00872522981899,2.582617525794273,229.7757259953481,200.51387540949636,79.50892405263535,0.0,0,,,,,,
102.00872522981899,2.59518370328867,229.8692985948829,199.518262950446,79.64846496974029,0.0,0,,,,,,
103.00872522981899,2.6077278846121454,229.96287119441772,198.52265049139564,79.78800588684523,0.0,0,,,,,,
104.00872522981899,2.620250146635506,230.05644379395252,197.52703803234527,79.92754680395016,0.0,0,,,,,,
105.00872522981899,2.632750565827297,230.15001639348733,196.5314255732949,80.0670877210551,0.0,0,,,,,,
106.00872522981899,2.6452292182566044,230.24358899302214,195.53581311424455,80.20662863816004,0.0,0,,,,,,
107.00872522981899,2.65768617959583,230.33716159255695,194.54020065519418,80.34616955526498,0.0,0,,,,,,
108.00872522981899,2.670121525123448,230.43073419209176,193.54458819614382,80.48571047236992,0.0,0,,,,,,
109.00872522981899,2.6825353297267314,230.52430679162657,192.54897573709346,80.62525138947485,0.0,0,,,,,,
110.00872522981899,2.6949276679044605,230.61787939116138,191.5533632780431,80.76479230657979,0.0,0,,,,,,
111.00872522981899,2.7072986137696042,230.7114519906962,190.55775081899273,80.90433322368473,0.0,0,,,,,,
112.00872522981899,2.719648241051979,230.805024590231,189.56213835994237,81.04387414078967,0.0,0,,,,,,
113.00872522981899,2.731976623100887,230.8985971897658,188.566525900892,81.1834150578946,0.0,0,,,,,,
114.00872522981899,2.7442838328877275,230.99216978930062,187.57091344184164,81.32295597499954,0.0,0,,,,,,
115.00872522981899,2.756569943008592,231.08574238883543,186.57530098279128,81.46249689210448,0.0,0,,,,,,
116.00872522981899,2.7688350256868297,231.17931498837024,185.5796885237409,81.60203780920942,0.0,0,,,,,,
117.00872522981899,2.781079152775598,231.27288758790505,184.58407606469055,81.74157872631436,0.0,0,,,,,,
118.00872522981899,2.7933023957603864,231.36646018743986,183.5884636056402,81.8811196434193,0.0,0,,,,,,
119.00872522981899,2.8055048257615214,231.46003278697466,182.59285114658982,82.02066056052423,0.0,0,,,,,,
120.00872522981899,2.8176865135366485,231.55360538650947,181.59723868753946,82.16020147762917,0.0,0,,,,,,
121.00872522981899,2.829847529483195,231.64717798604428,180.6016262284891,82.29974239473411,0.0,0,,,,,,
122.00872522981899,2.8419879436408113,231.7407505855791,179.60601376943873,82.43928331183905,0.0,0,,,,,,
123.00872522981899,2.8541078256937897,231.8343231851139,178.61040131038837,82.57882422894399,0.0,0,,,,,,
124.00872522981899,2.8662072449734657,231.9278957846487,177.614788851338,82.71836514604892,0.0,0,,,,,,
125.00872522981899,2.8782862704605963,232.02146838418352,176.61917639228764,82.85790606315386,0.0,0,,,,,,
126.00872522981899,2.890344970787721,232.11504098371833,175.62356393323728,82.9974469802588,0.0,0,,,,,,
127.00872522981899,2.9023834142415015,232.20861358325314,174.62795147418691,83.13698789736374,0.0,0,,,,,,
128.008725229819,2.9144016687650405,232.30218618278795,173.63233901513655,83.27652881446868,0.0,0,,,,,,
129.008725229819,2.926399801960184,232.39575878232276,172.6367265560862,83.41606973157361,0.0,0,,,,,,
130.0076067219618,2.938364494698238,232.5138658517733,171.64485209049528,83.55545457106636,0.0,0,,,,,,
131.0074215470644,2.9503203965115437,232.69731387684772,170.66201105218275,83.69496964869629,0.0,0,,,,,,
132.007236372167,2.9622563850674957,232.94582860191994,169.69357410745314,83.83448472632621,0.0,0,,,,,,
133.00705119726962,2.974172526589198,233.25830592611788,168.74384382660648,83.97399980395613,0.0,0,,,,,,
134.0068660223722,2.9860769263923754,233.63335757562376,167.8170396700028,84.0,0.0,0,,,,,,
135.00668084747483,2.997979483834073,234.0693172714951,166.91727924184943,84.0,0.0,0,,,,,,
136.00649567257744,3.009882041275771,234.56424813260637,166.04855999651488,84.0,0.0,0,,,,,,
137.00631049768006,3.0217845987174687,235.11595128082186,165.21474147864419,84.0,0.0,0,,,,,,
138.00631049768006,3.0336893606222306,235.75260097024952,164.44358833370364,84.0,0.0,0,,,,,,
139.00631049768006,3.0455941225269925,236.38925065967717,163.6724351887631,84.0,0.0,0,,,,,,
140.00631049768006,3.0574988844317543,237.02590034910483,162.90128204382256,84.0,0.0,0,,,,,,
141.00631049768006,3.069403646336516,237.6625500385325,162.13012889888202,84.0,0.0,0,,,,,,
142.00631049768006,3.081308408241278,238.29919972796014,161.35897575394148,84.0,0.0,0,,,,,,
143.00631049768006,3.09321317014604,238.9358494173878,160.58782260900094,84.0,0.0,0,,,,,,
144.00631049768006,3.1051179320508018,239.57249910681546,159.8166694640604,84.0,0.0,0,,,,,,
145.00631049768006,3.1170226939555636,240.2091487962431,159.04551631911986,84.0,0.0,0,,,,,,
146.00631049768006,3.1289274558603255,240.84579848567077,158.2743631741793,84.0,0.0,0,,,,,,
147.00631049768006,3.1408322177650874,241.48244817509843,157.50321002923877,84.0,0.0,0,,,,,,
