Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,149.0,162.0,0.0,0.0,0,149.0,162.0,0.0,0.0,3.0,0.0
1.0,0.16666666666666666,150.0,162.0,12.0,0.0,0,165.0,162.0,84.0,0.0,3.0,0
2.0,0.25,151.0,162.0,12.0,0.0,0,233.99,162.0,84.0,0.0,15.0,0
3.0,0.3333333333333333,152.0,162.0,12.0,0.0,0,232.0,132.0,84.0,0.0,15.0,0
4.0,0.4106836025229591,153.0,162.0,13.856406460551018,0.0,0,293.72,132.0,84.0,0.0,10.0,0
5.0,0.47483363243291754,154.0,162.0,17.32050807568877,0.0,0,284.0,157.0,84.0,0.0,20.0,0
6.0,0.5273200205410653,155.0,162.0,20.784609690826525,0.0,0,278.0,200.0,84.0,0.0,25.0,0
7.0,0.5717315797094981,156.0,162.0,24.248711305964278,0.0,0,300.0,230.0,84.0,0.0,15.0,0
8.0,0.6102215976554731,157.0,162.0,27.71281292110203,0.0,0,360.17,230.0,144.0,0.0,3.0,0
9.0,0.6441833781960393,158.0,162.0,31.176914536239785,0.0,0,426.61,230.0,240.0,0.0,3.0,0
10.0,0.6745702344691775,159.0,162.0,34.64101615137754,0.0,0,468.66,230.0,240.0,0.0,3.0,0
11.0,0.7020631044305883,160.0,162.0,38.1051177665153,0.0,0,540.77,230.0,0.0,0.0,3.0,0
12.0,0.7271652900475285,161.0,162.0,41.569219381653056,0.0,0,,,,,,
13.0,0.7502593008151135,162.0,162.0,45.03332099679081,0.0,0,,,,,,
14.0,0.771642644118433,163.0,162.0,48.49742261192857,0.0,0,,,,,,
15.0,0.7915512740904891,164.0,162.0,51.96152422706633,0.0,0,,,,,,
16.0,0.8105962979946937,165.0,162.0,53.05278345035594,0.0,0,,,,,,
17.0,0.829253566799336,166.0,162.0,54.14404267364555,0.0,0,,,,,,
18.0,0.8475385547726314,167.0,162.0,55.23530189693516,0.0,0,,,,,,
19.0,0.8654658279994363,168.0,162.0,56.326561120224774,0.0,0,,,,,,
20.0,0.883049114085858,169.0,162.0,57.417820343514386,0.0,0,,,,,,
21.0,0.9003013653023333,170.0,162.0,58.509079566804,0.0,0,,,,,,
22.0,0.9172348158926705,171.0,162.0,59.60033879009361,0.0,0,,,,,,
23.0,0.9338610341841544,172.0,162.0,60.69159801338322,0.0,0,,,,,,
24.0,0.9501909700545904,173.0,162.0,61.78285723667283,0.0,0,,,,,,
25.0,0.9662349982440377,174.0,162.0,62.874116459962444,0.0,0,,,,,,
26.0,0.9820029579402323,175.0,162.0,63.965375683252056,0.0,0,,,,,,
27.0,0.9975041890159028,176.0,162.0,65.05663490654166,0.0,0,,,,,,
28.0,1.012747565252142,177.0,162.0,66.14789412983127,0.0,0,,,,,,
29.0,1.0277415248437254,178.0,162.0,67.23915335312088,0.0,0,,,,,,
30.0,1.0424940984489222,179.0,162.0,68.3304125764105,0.0,0,,,,,,
31.0,1.0570129350172264,180.0,162.0,69.4216717997001,0.0,0,,,,,,
32.0,1.07130532560295,181.0,162.0,70.51293102298972,0.0,0,,,,,,
33.0,1.085378225350269,182.0,162.0,71.60419024627933,0.0,0,,,,,,
34.0,1.0992382738156592,183.0,162.0,72.69544946956894,0.0,0,,,,,,
35.0,1.1128918137763573,184.0,162.0,73.78670869285855,0.0,0,,,,,,
36.0,1.1263449086582038,185.0,162.0,74.87796791614817,0.0,0,,,,,,
37.0,1.1396033587027208,186.0,162.0,75.96922713943778,0.0,0,,,,,,
38.0,1.1526727159813104,187.0,162.0,77.06048636272739,0.0,0,,,,,,
39.0,1.1655582983538417,188.0,162.0,78.151745586017,0.0,0,,,,,,
40.0,1.178265202459453,189.0,162.0,79.24300480930661,0.0,0,,,,,,
