Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,200.0,60.0,0.0,0.0,0,200.0,60.0,0.0,0.0,3.0,0
1.0,0.16666666666666666,201.0,60.0,12.0,0.0,0,400.0,60.0,84.0,0.0,3.0,0
2.0,0.25,202.0,60.0,12.0,0.0,0,400.0,260.0,84.0,0.0,3.0,0
3.0,0.3333333333333333,203.0,60.0,12.0,0.0,0,200.0,260.0,84.0,0.0,3.0,0
4.0,0.41666666666666663,204.0,60.0,12.0,0.0,0,200.0,60.0,84.0,0.0,3.0,0
5.0,0.49999999999999994,205.0,60.0,12.0,0.0,0,300.0,60.0,84.0,0.0,3.0,0
6.0,0.5833333333333333,206.0,60.0,12.0,0.0,0,400.0,160.0,84.0,0.0,3.0,0
7.0,0.6666666666666666,207.0,60.0,12.0,0.0,0,300.0,260.0,84.0,0.0,3.0,0
8.0,0.75,208.0,60.0,12.0,0.0,0,200.0,160.0,84.0,0.0,3.0,0
9.0,0.8333333333333334,209.0,60.0,12.0,0.0,0,300.0,60.0,0.0,0.0,3.0,0
10.0,0.9166666666666667,210.0,60.0,12.0,0.0,0,,,,,,
11.0,1.0,211.0,60.0,12.0,0.0,0,,,,,,
12.0,1.0833333333333333,212.0,60.0,12.0,0.0,0,,,,,,
13.0,1.1666666666666665,213.0,60.0,12.0,0.0,0,,,,,,
14.0,1.2499999999999998,214.0,60.0,12.0,0.0,0,,,,,,
15.0,1.333333333333333,215.0,60.0,12.0,0.0,0,,,,,,
16.0,1.4166666666666663,216.0,60.0,12.0,0.0,0,,,,,,
17.0,1.4999999999999996,217.0,60.0,12.0,0.0,0,,,,,,
18.0,1.5833333333333328,218.0,60.0,12.0,0.0,0,,,,,,
19.0,1.666666666666666,219.0,60.0,12.0,0.0,0,,,,,,
20.0,1.7499999999999993,220.0,60.0,12.0,0.0,0,,,,,,
21.0,1.8333333333333326,221.0,60.0,12.0,0.0,0,,,,,,
22.0,1.9166666666666659,222.0,60.0,12.0,0.0,0,,,,,,
23.0,1.9999999999999991,223.0,60.0,12.0,0.0,0,,,,,,
24.0,2.0833333333333326,224.0,60.0,12.0,0.0,0,,,,,,
25.0,2.166666666666666,225.0,60.0,12.0,0.0,0,,,,,,
26.0,2.2499999999999996,226.0,60.0,12.0,0.0,0,,,,,,
